1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
6,283,282,89,283,78,77,76,290,289,287,4,9,285,0,294,292,8,292292,8,278,283,289,287,87,2,85,282,289,8,285,2,284,275,295,281,289,286,279,2,270,272,272,280,8,0,2,287,287,275,279
276,282,282,289,282,278,277,276,290,289,287,295,289,285,280,295,292,278,292,287,278,283,290,287,287,282,285,282,288,287,284,294,284,275,295,281,289,286,279,285,271,272,272,281,284,271,287,287,287,275,279
276,282,282,289,283,278,277,276,290,289,287,294,289,285,280,295,292,278,292,287,278,283,289,287,287,282,285,282,289,287,284,294,284,275,295,281,289,286,279,285,270,272,272,280,284,271,287,287,288,276,279
276,282,282,289,283,278,277,276,290,289,287,294,288,285,280,295,292,278,292,287,278,283,289,287,287,282,285,282,289,287,284,294,284,275,295,281,289,286,279,285,271,272,272,280,284,271,287,287,287,275,279
276,282,282,289,283,278,277,276,290,289,287,294,289,285,280,295,292,278,292,287,278,283,290,287,287,282,284,282,288,287,284,294,284,275,295,281,289,286,279,285,271,271,271,281,284,271,287,287,287,276,279
276,282,281,289,284,278,277,276,291,289,287,294,289,285,280,295,292,278,292,287,278,283,289,287,287,282,284,282,288,287,284,294,284,275,295,281,289,286,279,285,270,272,272,281,284,271,287,287,288,275,279
275,283,282,289,283,278,277,276,290,289,287,294,289,285,280,295,292,278,292,287,278,283,289,287,287,282,284,282,288,287,284,294,284,275,295,281,289,286,279,285,271,271,271,280,284,271,288,287,287,275,279
276,283,282,289,283,278,277,276,290,289,287,295,288,285,280,295,292,278,292,286,278,283,289,287,287,282,284,282,288,287,284,294,284,275,295,281,289,286,280,285,270,272,272,280,284,272,287,287,287,275,279
277,282,282,289,283,278,277,276,290,289,287,294,288,285,280,295,292,8,292,287,278,283,289,287,287,282,284,282,288,287,284,294,284,276,295,281,289,286,279,286,271,272,272,280,284,272,287,287,287,275,279
276,282,282,289,283,278,277,276,290,289,287,295,289,285,280,295,292,278,292,287,279,283,289,287,287,282,284,282,289,287,284,294,284,275,295,281,289,286,279,285,271,272,272,280,284,272,287,287,287,275,279279
