1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
5,4,552,552,420,430,406,390,2,303,312,310,279,274,246,224,210,208,322,318,327,307,324,315,317,3,318,313,311,3,312,320,326,324,613,17,643,633,641,642,678,640,606,651,641,635,642,666,1,665,623,6,9,664,6,666,689,6,703,669,670,675,678,662,9,6,655,5,680,631,674,623,636,2,3,645,645,671,685,720,686,5,682,637
535,538,553,552,420,430,407,390,331,303,312,310,279,274,246,224,210,208,322,318,327,308,324,315,317,314,318,313,311,314,310,320,326,325,613,616,643,633,640,641,674,640,606,651,641,635,642,666,655,665,622,651,670,664,667,666,689,676,703,669,670,675,678,662,688,669,655,689,681,631,673,623,636,622,625,645,645,671,685,720,686,691,683,637
534,538,553,552,419,430,407,390,332,303,312,310,279,274,246,224,210,208,322,318,327,308,324,315,318,313,318,313,311,314,310,320,326,324,612,616,643,633,640,642,667,640,607,651,641,635,642,666,659,665,620,651,669,664,667,666,689,676,703,670,672,675,678,662,688,669,655,689,680,631,674,623,636,622,621,645,645,671,685,720,686,691,683,637
535,538,553,552,420,430,407,390,332,303,312,310,279,274,246,224,210,208,322,318,327,308,324,315,318,314,318,314,311,314,312,320,326,324,612,616,643,633,640,642,656,640,607,651,641,635,642,666,664,665,618,651,670,664,667,666,689,676,703,669,672,675,678,662,688,669,655,689,680,631,674,623,636,622,625,645,645,671,685,720,687,691,682,637
535,538,553,552,420,431,405,390,332,303,312,310,279,273,246,224,210,208,322,318,327,308,324,315,317,314,318,314,311,314,312,320,326,324,612,616,643,633,641,641,651,639,606,651,643,635,642,666,668,664,617,649,669,664,667,666,689,676,703,669,672,675,678,662,688,669,655,689,681,632,673,623,636,622,625,645,645,670,685,720,686,691,681,637
535,538,549,552,420,430,406,391,332,303,312,307,279,274,246,224,210,208,322,318,327,308,324,315,317,314,318,315,311,314,313,320,326,324,613,616,643,633,641,642,644,640,607,651,641,636,642,666,671,665,616,651,669,664,667,666,689,676,703,669,672,670,678,662,688,667,655,689,681,631,673,624,636,622,625,645,645,670,685,720,686,691,681,637
535,538,553,552,421,430,407,390,332,303,312,310,279,274,246,224,210,208,322,318,326,308,324,315,317,313,318,315,311,314,312,320,326,324,612,616,643,633,641,642,641,640,606,651,641,635,642,666,674,665,614,651,670,664,667,666,689,676,703,669,671,671,678,662,688,668,655,689,681,631,674,623,636,622,626,645,645,671,685,720,686,691,681,638
535,538,553,552,420,430,407,391,332,303,312,310,279,274,246,224,210,208,322,318,327,308,324,315,317,314,318,315,312,314,312,320,326,323,613,616,643,633,641,642,636,640,606,652,641,635,642,666,677,665,614,651,670,664,667,666,689,676,703,669,671,674,678,662,688,668,655,689,681,631,673,623,636,622,625,645,645,670,685,720,686,691,682,637
535,538,552,552,419,430,406,391,332,303,312,309,279,274,246,224,210,208,322,318,327,308,324,315,317,314,318,315,312,314,312,320,326,324,612,616,643,633,641,642,629,640,607,652,641,635,642,666,680,665,613,651,669,664,667,666,689,676,703,669,671,675,678,662,688,668,656,689,681,631,674,623,636,622,625,645,645,671,685,720,687,691,682,638
535,538,553,551,420,430,406,390,332,303,312,310,279,274,246,224,210,208,322,318,327,308,324,315,317,314,318,315,311,314,313,320,326,324,612,616,643,633,641,642,623,640,606,651,641,635,642,666,683,665,613,651,669,664,667,666,689,676,703,669,671,675,678,662,688,669,656,690,680,631,674,623,636,622,625,645,645,671,685,720,686,691,682,637
