1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
592,546,551,556,575,579,639,529,546,567,603,608,5,520,584,585,6,628,504,575,567,604,570,582,556,563,508,5,589,5,548,585,562,582,549,544,546,568,5,576,602,590,582,581,59,606,4,623,608,639,604,638,551,576,610,3,646,548,1,627,6,583,4,595,596,605,1,5,617,594
592,545,550,556,575,584,639,530,546,567,603,608,595,520,584,585,573,628,504,575,567,604,571,582,555,563,508,559,589,528,545,584,562,582,549,545,546,568,562,576,602,590,582,581,558,606,644,623,608,639,602,638,551,576,610,628,645,548,645,627,664,583,545,595,597,604,645,600,617,594
592,545,551,556,575,583,639,529,546,567,603,609,595,520,584,585,573,628,504,576,567,604,571,582,556,563,510,559,588,529,545,584,561,582,549,544,546,569,563,576,602,590,582,581,559,606,644,623,608,639,602,638,551,576,610,628,645,548,644,627,664,582,546,595,600,604,645,600,617,596
592,544,551,555,575,583,639,529,546,567,603,608,595,520,584,585,573,628,503,576,567,604,571,582,556,563,510,559,585,529,548,584,560,582,549,545,548,569,562,576,599,590,582,581,559,606,645,623,607,640,603,638,552,576,610,628,646,548,644,627,667,584,545,595,600,604,645,600,618,596
593,546,551,556,575,583,639,529,546,567,603,608,595,520,584,585,573,627,504,575,567,604,571,582,556,563,510,559,589,529,548,584,562,582,549,544,546,569,562,576,602,590,582,581,559,606,645,623,608,639,603,638,551,576,610,628,646,548,645,627,667,583,545,595,600,604,646,600,617,596
592,546,551,556,575,583,639,530,546,567,603,608,595,519,584,585,573,628,504,575,567,603,570,582,555,563,510,559,589,529,548,585,562,582,549,544,546,568,562,576,602,590,582,581,559,606,645,622,608,639,602,636,551,576,610,628,645,548,644,627,667,583,545,595,600,604,645,600,618,595
592,546,551,556,575,583,639,530,546,567,603,608,595,520,584,585,573,628,504,575,567,604,571,582,556,563,510,559,589,529,548,584,562,582,549,544,546,568,562,576,602,590,582,580,559,606,645,623,608,639,602,636,552,576,610,629,646,548,645,627,667,583,545,595,601,604,644,600,618,596
592,545,551,556,575,583,639,530,546,567,603,608,595,520,584,585,574,628,504,575,567,604,571,582,556,563,510,559,590,529,548,585,563,582,549,545,546,568,562,576,602,590,582,582,559,607,646,624,608,639,603,638,550,576,610,628,646,548,644,628,667,583,545,595,601,604,645,599,618,596
593,545,551,556,575,583,639,530,546,567,603,608,595,520,584,585,573,628,504,575,567,604,571,582,556,563,509,559,589,529,548,585,563,582,549,544,546,568,562,577,602,590,582,581,559,607,646,623,608,639,602,638,551,576,610,628,645,548,644,627,667,583,546,595,601,605,646,600,618,596
592,546,551,554,575,583,639,530,546,568,602,608,595,520,583,585,573,628,504,575,567,604,571,582,556,563,510,559,590,529,547,585,563,582,549,544,547,568,562,577,603,590,582,581,559,607,646,623,608,639,602,638,552,576,610,628,645,548,645,627,667,583,546,595,600,604,646,600,618,596
