1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
28,587,578,589,593,598,618,610,600,8,601,7,58,523,4,441,5,264,221,212
528,587,578,588,595,598,618,610,600,628,601,566,551,523,483,442,268,264,221,212
528,587,578,587,595,598,618,610,599,628,601,566,551,523,483,442,268,264,221,212
528,587,578,589,594,598,618,610,600,628,601,566,551,523,483,442,268,264,221,212
528,586,574,589,595,594,618,610,600,628,601,566,550,523,483,442,268,264,221,213
528,587,578,589,595,597,618,610,600,628,601,566,551,523,483,442,268,264,221,212
528,587,578,589,594,598,618,610,600,628,601,566,551,522,483,442,268,264,221,212
528,587,578,589,593,598,618,610,600,628,601,566,551,523,483,442,268,264,221,212
528,587,578,589,593,598,618,610,599,628,601,566,551,523,483,442,268,264,221,212
528,587,578,590,594,598,618,610,600,628,601,566,551,523,483,441,268,264,221,213
