1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
728,727,2,5,7,725,724,724,72,725,725,7,724,25,725,724,725,26,726,725,724,724,723,725,725,2
728,727,725,724,725,725,724,724,725,725,725,723,724,724,725,724,725,725,725,726,724,724,724,725,724,724
728,727,724,724,725,725,724,724,725,725,725,723,724,724,725,724,725,725,726,726,724,724,723,725,725,724
728,727,724,724,726,724,724,724,725,725,725,724,724,724,725,724,725,725,726,725,724,724,723,725,725,724
727,727,724,724,725,725,724,724,725,725,725,723,724,724,725,724,725,725,725,725,724,724,723,725,724,724
728,727,725,724,725,725,724,724,725,725,725,723,724,724,725,724,725,725,726,726,724,724,723,725,724,724
728,728,724,724,726,725,724,724,725,725,725,723,724,724,725,724,725,725,726,726,724,724,723,725,725,724
728,727,725,724,726,725,723,724,725,725,725,724,724,724,725,724,725,725,726,725,724,724,723,725,725,725
728,727,724,724,726,725,724,724,725,725,725,724,724,724,725,724,726,725,726,726,724,724,723,725,724,725
728,727,724,724,725,725,724,724,725,725,725,724,724,724,725,724,725,725,725,726,724,724,723,725,724,725
