1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
451,6,393,383,442,345,69,546,453,0,423,451,437,455,436,1,475,29,429,8,425,78,162,374,428,1,425,15,36,354,412,394,421,4,73,46,4,404,329,39,397,321,337,376,337,43,358,330,7,8,252,238,2,346,306,39,350,292,43,97
451,446,393,383,433,345,469,545,453,500,423,451,436,455,443,421,479,433,429,439,425,378,167,374,7,401,425,415,437,355,412,394,421,403,473,346,463,400,329,339,398,321,337,376,338,243,357,330,276,438,252,237,284,346,306,239,349,293,343,297
451,446,393,383,421,345,469,545,453,500,423,451,437,455,453,421,482,434,429,439,425,376,179,374,427,401,425,415,437,355,412,394,421,403,473,345,476,395,327,339,398,321,337,376,339,243,355,330,277,438,252252,237,284,346,306,239,350,292,343,297
451,446,393,383,410,6,469,545,454,500,423,451,437,455,460,421,486,435,429,440,425,372,194,370,426,401,425,415,437,355,412,394,421,402,474,342,485,389,326,339,398,321,337,376,340,242,350,330,277,438,252,237,284,3,306,239,349,292,342343,297
451,446,393,383,400,345,468,545,453,500,423,451,437,455,468,421,487,436,429,440,424,367347,221,374,427,401,425,415,438,355,412,395,421,401,474,339,491,383,321,339,398,321,337,376,340,242,347,330,276,438,252,238,283,345,306,239,350,292,343,297
451,446,394,383,391,344,468,545,454,500,423,451,436,455,47,421,487,436,429,440,425,322,260,374,427,400,425,415,438,355,412,395,422,401,474,332,494,379,317,338,398,321,337,376,340,242,344,330,276,437,252,237,284,345,306,239,350,293,343,297
451,446,393,383,384,344,468,545,454,500,423,451,437,455,523,422,489,436,425,441,425,306,320,374,426,401,425,414,437,355,412,394,422,400,474,323,497,377,312,337,398,321,338,376,341,243,341,330,276,436,252,237,284,345,306,239,350,29,343,297
451,446,393,383,380,343,469,545,454,500,423,451,437,455,532,42,490,437,427,441,425,294,401,374,427,400,425,414,437,355,412,394,422,400,474,313,498,375,310,6,398,321,337,376,341,243,340,330,276,435,252,238,284,345,306,239,350,292,343,29
451,446,393,383,379,344,468,546,453,500,423,451,43,455,538,420,490,436,429,441,424,286,482,374,427,400,426424,414,436,355,412,393,422,400,475,306,498,373,306,333,398,321,337,376,341,243,339,330,276,435,252,237,283,345,306,239,348,292,343,296
451,446,393,383,380,343,468,546,453,501,423,45,436,455,542,421,490,436,429,441,425,285,527,376,427,400,425,414,435,355,412,393,422,400,475,301,495,371,305,332,398,321,337,376,341,243,339,330,276,434,252,238,284,346,306,239,349,292,343,296
