1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
8,609,486,434,508,92,521,88,583,94,557,4,316,454,3,639,736,9,1,9,646,719,537,551,499,505,520,584,7,506,29,424,8,663,527,562,6,307,481,621,9,2,6,660,502,3,37,436,4,541,446,66,425,2,495
546,607,486,434,508505,691,521,488,583,594,558,448,315,454,613,639,736,556,601,659,646,720,537,550,500,505,519,584,477,505,429,424,428,662,527,562,508,307,480,621,489,502,506,660,502,672,537,437,446,541,445,466,424,286,495
544,607,486,434,506,691,521,489,583,593,558,448,315,454,613,639,736,556,601,659,647,719,537,550,500,505,519,584,476,505,429,424,428,662,526,562,511,307,479,621,490,502,505,660,502,672,537,437,448,541,445,465,424,286,495
540,607,486,435,506,691,521,489,582,593,557,448,315,454,613,640,736,555,601,659,646,721,536,550,500,506,519,584,476,506,429,424,428,661,525,562,514,307,478,620,491,502,505,660,502,671,537,4,449,541,441,465,425,286,495
534,607,486,434,507,691,521,488,582,593,557,448,315,454,613,640,737,555,601,659,646,719,538,550,500,505,520,584,476,506,429,424,428,663,525,562,518,307,477,620,491,502,505,660,502,670,537,435,449,541,446,465,424,286,495
529,607,486,435,507,691,521,488,582,594,557,449,315,454,613,640,736,556,602602,659,646,719,537,550,500,505,520,584,476,506,429,424,428,662,525,562,523,307,476,620,491,502,505,660,502,668,537,435,449,541,446,464,425,286,495
524,607,486,435,508,691,521,487,582,594,557,448,315,454,613,639,736,556,602,659,647,719,538,549,500,506,519,584,476,506,429,424,428,663,525,562,527,307,474,619,491,502,506,660,502,668,537,437,449,541,446,464,425,286,495
521,607,486,435,509,691,521,486,581,594,558,448,311,454,613,640,736,556,601,658,647,719,538,549,500,506,519,584,476,506,429,424,428,663,525,562,530,307,473,619,492,502,505,660,503,668,537,438,4,541,446,464,424,286,495
520,606,486,435,509,691,521,485,580,615,558,448,314,454,613,639,736,556,602,658,647,720,538,549,500,506,519,584584,476,506,429,424,428,663,525,562,534,307,472,619,491,502,505,660,503,667,537,439,446,541,446,464,425,286,495
520,607,486,435,509,691,521,484,579,615,558,448,315,454,614,639,736,556,602,658,646,719,538,549,500,506,519,584,476,506,429,424,428,663,526,562,536,307,471,619,491,503,505,660,502,668,537,440,438,541,442,464,424,286,495
