1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
62,58,60,59,60,60,59,59,60,60,59,60,60,62,60,60,58,58,59,57,59,59,58,57,60,57,58,58,58,59,57,58,59,58,60,57,58,57,57,56,57,56,56,58,57,54,54,54,53,53
61,58,60,58,59,58,59,60,60,60,58,59,59,61,60,59,58,59,59,57,59,59,58,57,59,57,59,59,58,60,56,58,58,58,59,57,57,58,57,56,58,55,55,58,56,54,54,53,53,54
61,58,60,59,60,59,59,59,61,60,58,59,59,60,60,59,59,58,58,58,59,58,57,57,60,57,59,58,57,60,56,58,59,58,59,57,57,57,57,55,58,55,55,57,55,54,53,54,54,52
62,58,60,59,60,58,58,60,60,60,57,59,59,59,59,60,59,59,60,58,60,59,57,56,59,57,57,58,57,59,57,58,59,58,59,58,57,58,57,56,56,56,57,57,56,54,54,54,53,53
62,58,59,58,61,58,58,60,60,61,58,59,59,60,60,59,59,58,59,57,60,58,57,56,59,57,57,58,57,59,56,58,59,58,59,57,56,57,57,56,58,56,55,58,56,54,54,53,54,52
61,57,60,57,59,59,58,60,60,60,58,59,58,59,60,60,58,59,59,57,58,58,57,57,60,56,57,58,57,59,56,58,59,59,59,57,57,57,57,56,56,55,55,58,56,54,55,56,55,52
61,57,59,59,59,58,59,60,60,60,58,59,59,59,59,58,58,58,59,57,58,58,57,56,59,57,58,58,57,59,56,58,58,58,60,57,57,58,57,56,58,55,55,58,56,53,53,54,54,52
61,57,60,58,59,59,58,59,61,59,58,58,60,58,59,59,58,58,59,58,58,58,56,57,59,58,57,59,57,60,56,58,59,58,60,57,58,57,57,56,57,55,56,56,55,54,55,54,53,52
61,57,59,58,58,58,57,59,59,58,58,59,59,58,59,59,58,58,58,57,58,58,57,57,59,58,57,59,58,59,56,58,59,59,59,57,57,57,57,56,57,57,56,58,56,54,53,54,53,52
61,57,58,57,58,57,58,59,60,59,57,59,58,60,59,59,58,58,58,57,58,58,56,56,59,57,57,58,57,59,56,58,59,58,59,57,57,57,56,56,57,55,55,57,56,54,52,54,54,52
61,57,59,58,59,58,57,58,60,59,57,59,58,58,59,58,57,58,59,57,57,58,58,56,59,56,58,58,57,58,56,58,57,58,58,58,58,57,56,55,58,55,57,57,56,54,53,54,53,52
61,57,59,58,59,58,58,60,59,59,58,59,58,57,59,59,58,58,57,57,57,58,57,56,59,57,58,58,57,59,56,59,58,59,58,56,57,57,56,55,58,56,55,57,56,55,54,54,54,52
59,57,59,58,59,58,57,59,59,59,58,59,58,58,59,60,58,58,60,57,58,58,57,57,58,57,58,59,58,58,55,59,58,58,58,57,56,57,57,55,57,55,55,57,56,55,54,54,53,52
60,58,59,57,58,58,57,59,59,58,57,59,58,58,59,60,58,58,57,57,58,57,57,57,59,57,58,59,57,59,58,58,57,58,58,58,57,57,57,56,56,55,55,56,56,54,53,54,53,53
59,57,58,56,58,57,59,59,59,60,57,58,58,58,59,59,60,58,59,57,58,57,57,56,60,57,57,59,57,57,56,58,58,58,59,57,57,57,56,56,56,56,56,57,55,53,53,54,54,52
