1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
32,31,33,33,34,32,35,33,31,34,35,33,33,34,33,33,33,34,38,38,38,34,34,34,35,33,33,33,32,38,31,35,33,34,36,34,35,35,38,35,36,36,34,35,32,34,38,36,36,37
33,32,34,32,34,32,35,33,31,34,35,35,33,35,33,32,33,35,38,38,37,35,35,34,35,33,33,32,32,37,31,35,35,34,37,33,36,36,37,36,36,36,35,37,33,34,37,36,35,37
33,32,33,34,34,31,36,33,30,34,35,35,34,34,33,32,34,35,38,38,38,35,35,34,36,33,34,34,33,37,31,36,36,34,36,34,36,36,37,37,37,36,35,37,33,33,38,37,38,37
32,32,34,34,35,33,35,33,32,35,34,34,34,34,34,34,34,36,38,38,38,35,35,33,36,33,34,33,32,37,32,35,35,34,37,35,36,36,36,38,36,35,36,37,32,34,37,37,37,37
34,32,33,34,35,32,36,34,31,35,35,34,34,35,35,33,34,36,37,38,38,35,36,34,36,34,34,34,32,37,31,35,35,34,36,36,36,35,37,36,37,36,35,37,33,35,37,37,36,39
33,32,35,34,35,32,36,32,30,34,35,35,34,35,34,33,34,35,38,38,38,36,36,34,37,33,33,33,32,39,32,34,36,36,38,35,36,36,37,36,37,36,35,37,34,35,38,36,38,38
33,32,34,34,35,33,36,33,32,35,36,34,34,34,34,34,34,35,39,38,38,35,36,35,38,33,34,33,32,37,31,36,37,34,37,34,38,35,37,37,37,35,35,37,33,34,38,36,37,38
33,32,34,34,36,33,36,34,32,35,36,35,34,34,34,34,35,35,37,39,39,36,36,35,37,34,33,34,32,37,32,36,36,35,36,35,37,36,37,37,37,36,36,37,33,36,38,37,37,38
32,32,34,35,35,32,36,34,31,35,36,35,34,35,34,33,34,35,39,38,39,35,36,34,37,34,34,34,33,37,31,36,36,35,37,35,37,36,37,36,37,37,36,38,33,35,38,37,38,38
32,32,35,34,35,33,36,34,32,35,36,35,34,35,35,34,34,35,39,38,38,36,36,35,37,35,34,34,33,38,32,35,36,35,37,34,36,38,37,35,36,35,35,37,33,35,37,38,38,38
35,32,34,35,35,33,36,34,32,35,36,35,34,34,34,35,35,35,39,38,38,36,36,35,38,35,34,35,32,38,31,35,35,35,37,35,37,35,38,37,36,36,34,38,34,35,38,37,38,38
35,32,35,35,35,32,36,34,31,35,36,35,33,35,34,35,34,36,39,38,38,36,35,34,37,34,35,34,34,37,31,37,36,35,37,35,37,37,37,37,37,36,35,37,33,35,38,35,38,38
